contact_id,season_year,tenure,percent_total_used,flash_profit_loss,renewed
116230,2014-2015,19,0.837209302,0,
1899969,2014-2015,4,0.581395349,0.06,
9176164,2014-2015,3,0.930232558,0,
1775291,2014-2015,5,0.88372093,0,
9177904,2014-2015,3,0.646341463,0,
144214,2014-2015,15,1,0,
4811802,2014-2015,7,0.790697674,0,
21096117,2014-2015,1,0.674418605,0.029695886,
21103147,2014-2015,1,0.744186047,0,
14198998,2014-2015,1,0.802325581,0,
302778,2014-2015,11,0.976744186,0,
120828,2014-2015,19,0.906976744,0,
7174102,2014-2015,6,1,0,
223872,2014-2015,12,0.825581395,0.079721635,
110455,2014-2015,19,0.465116279,-0.0196567,
21116763,2014-2015,1,0.511627907,0.360709914,
155034,2014-2015,18,0.813953488,-0.085509839,
21094119,2014-2015,1,0.23255814,0,
21099884,2014-2015,1,0.709302326,0,
9185919,2014-2015,3,0.76744186,0,
221848,2014-2015,12,0.75,0,
139506,2014-2015,17,0.720930233,0,
128110,2014-2015,18,0.976744186,0,
20634970,2014-2015,1,0.372093023,-0.077078929,
1608149,2014-2015,6,0.779069767,0.007575758,
8784048,2014-2015,3,0.61627907,0,
111291,2014-2015,19,0.906976744,0,
1659926,2014-2015,5,0.023255814,0,
1792887,2014-2015,4,0,0,
103734,2014-2015,19,0.046511628,0.007343941,
141068,2014-2015,17,0.662790698,0.064871481,
221969,2014-2015,12,0,0,
1874566,2014-2015,4,0.875,0,
106198,2014-2015,19,0.918604651,0,
137713,2014-2015,19,0.906976744,0,
125041,2014-2015,18,0,0,
112556,2014-2015,19,0.895348837,0,
1725298,2014-2015,5,0.918604651,0,
1531565,2014-2015,7,0.627906977,0,
479717,2014-2015,8,0.023255814,0,
21075403,2014-2015,1,0.720930233,0,
3458988,2014-2015,1,0,0,
4770024,2014-2015,7,0.872093023,0,
11994261,2014-2015,1,0.953488372,0.521175031,
219120,2014-2015,12,0.529069767,0,
21070167,2014-2015,1,0.802325581,0,
9338708,2014-2015,2,0.947674419,0,
21043097,2014-2015,1,0.941860465,0,
142509,2014-2015,15,0.011627907,0,
5829237,2014-2015,3,0.937209302,0,
10193990,2014-2015,2,0.219512195,-0.014905149,
11933991,2014-2015,1,0.831395349,0,
1894877,2014-2015,1,0,0,
1851527,2014-2015,4,0.802325581,0,
1714079,2014-2015,5,0.906976744,0,
119684,2014-2015,19,0.651162791,0,
1720740,2014-2015,5,0.790697674,0,
1690754,2014-2015,5,0.581395349,-0.038676208,
211024,2014-2015,12,0.860465116,0,
13369003,2014-2015,1,0,0,
109861,2014-2015,19,0.906976744,0,
1572490,2014-2015,6,0.895348837,0,
23604951,2014-2015,1,0.43902439,0,
23604872,2014-2015,1,0.920731707,0,
3524072,2014-2015,3,0.093023256,0,
122687,2014-2015,19,0.965116279,0,
21045691,2014-2015,1,0.720930233,0.410697674,
115449,2014-2015,19,0.790697674,0,
108805,2014-2015,19,0.76744186,0,
1855987,2014-2015,4,0.868217054,-0.008217054,
21075508,2014-2015,1,0,0,
13559135,2014-2015,1,0.627906977,0,
21114436,2014-2015,1,0.936046512,0,
