contact_id,seats,seat_end,seat_start,number_seats,years,num_years,attendance,performance,tix_num,zip,distance,section,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,season_year,paid_in_full,renewed,tenure,wins,ot_losses
9176164,"[15, 16]",16,15,2,"[2016, 2017, 2018, 2019]",4,0.975609756097561,0.5487804878048781,82,80005,9.195563944476039,['148'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,7,38,14
9177179,[18],18,18,1,"[2016, 2017, 2018, 2019]",4,1.0,0.5487804878048781,82,80020,12.428208615782568,['146'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,1,38,14
9177203,"[20, 18, 19, 17]",20,17,4,"[2016, 2017, 2018, 2019]",4,0.9789473684210527,0.5487804878048781,95,80015,15.03846554361427,"['312', '308', '376', '332']",4,1,0,0,1,male,2,2018-2019,0.0,1.0,3,38,14
9177663,"[3, 4]",4,3,2,"[2016, 2017, 2018, 2019]",4,0.9512195121951219,0.5487804878048781,82,80031,9.220153881283842,['116'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,7,38,14
9177896,"[10, 9]",10,9,2,"[2016, 2017, 2018, 2019]",4,0.9207317073170732,0.5487804878048781,164,80205,2.1536172516902488,['140'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,7,38,14
9177900,"[4, 3]",4,3,2,"[2016, 2017, 2018, 2019]",4,0.8048780487804879,0.5487804878048781,164,80204,0.8884784617602121,['116'],1,0,1,0,0,mostly_female,1,2018-2019,0.0,1.0,7,38,14
9177904,"[4, 2, 1, 3, 5]",5,1,5,"[2016, 2017, 2018, 2019]",4,0.75,0.5487804878048781,164,80504,31.139411287968425,['226'],1,0,0,1,0,male,2,2018-2019,0.0,1.0,7,38,14
9181634,[10],10,10,1,"[2016, 2017, 2018, 2019]",4,0.21951219512195122,0.5487804878048781,82,80109,31.485202911337495,['306'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,4,38,14
9181684,"[16, 15, 14, 13]",16,13,4,"[2016, 2017, 2018, 2019]",4,1.0,0.5487804878048781,82,80003,6.261726282740811,['318'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,1,38,14
9182719,"[3, 7, 5, 2, 8, 6, 4, 10, 9, 1, 12, 11]",12,1,12,"[2016, 2017, 2018, 2019]",4,0.983739837398374,0.5487804878048781,246,87199,11.042246228688796,['112'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,7,38,14
9183623,[6],6,6,1,"[2016, 2017, 2018, 2019]",4,0.8170731707317073,0.5487804878048781,82,80919,56.7726142775064,['372'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,7,38,14
9184122,"[18, 17]",18,17,2,"[2016, 2019]",2,0.5609756097560976,0.5487804878048781,82,82336,11.042246228688796,['216'],1,0,0,1,0,male,2,2018-2019,0.0,0.0,7,38,14
9185919,"[18, 17]",18,17,2,"[2016, 2017, 2018, 2019]",4,0.7560975609756098,0.5487804878048781,82,80120,10.259521635132941,['320'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,7,38,14
9186219,"[1, 2]",2,1,2,"[2016, 2017, 2018, 2019]",4,0.9811320754716981,0.5487804878048781,106,80422,33.19255770692787,"['342', '350', '314', '336', '348']",5,1,0,0,1,male,2,2018-2019,0.0,1.0,1,38,14
9186475,"[15, 14]",15,14,2,"[2016, 2017, 2018, 2019]",4,0.7317073170731707,0.5487804878048781,82,80110,6.810429515582239,['324'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,4,38,14
9186816,"[9, 10]",10,9,2,"[2016, 2017, 2018, 2019]",4,0.8170731707317073,0.5487804878048781,82,80126,15.398682485744569,['102'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,7,38,14
9188400,"[16, 15]",16,15,2,"[2016, 2017, 2018, 2019]",4,0.8048780487804879,0.5487804878048781,82,80013,14.067601845680528,['320'],1,0,0,0,1,male,2,2018-2019,0.0,0.0,1,38,14
9189452,"[2, 1]",2,1,2,"[2016, 2017, 2018, 2019]",4,1.0,0.5487804878048781,82,80033,5.12969523409558,['146'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,7,38,14
9190234,"[3, 4]",4,3,2,"[2016, 2017, 2018, 2019]",4,0.9054878048780488,0.5487804878048781,328,80422,33.19255770692787,['240'],1,0,0,1,0,unknown,0,2018-2019,0.0,1.0,7,38,14
9194530,"[1, 2]",2,1,2,"[2016, 2017, 2019]",3,0.8048780487804879,0.5487804878048781,82,80247,7.9176443614549346,['348'],1,0,0,0,1,mostly_male,2,2018-2019,0.0,1.0,4,38,14
9194751,"[6, 5]",6,5,2,"[2016, 2017, 2018, 2019]",4,1.0,0.5487804878048781,82,80260,8.369557276571594,['304'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,4,38,14
9195938,"[10, 9]",10,9,2,"[2016, 2017, 2018, 2019]",4,0.7804878048780488,0.5487804878048781,82,80233,11.042246228688796,['324'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,1,38,14
9196323,"[1, 2]",2,1,2,"[2016, 2017, 2018, 2019]",4,0.9512195121951219,0.5487804878048781,82,80602,15.476016064492825,['140'],1,0,1,0,0,male,2,2018-2019,0.0,0.0,4,38,14
9199268,"[8, 7]",8,7,2,"[2016, 2017, 2018, 2019]",4,0.9390243902439024,0.5487804878048781,82,80033,5.12969523409558,['376'],1,0,0,0,1,female,1,2018-2019,0.0,1.0,1,38,14
9203035,"[1, 2]",2,1,2,"[2016, 2017, 2018, 2019]",4,0.5975609756097561,0.5487804878048781,82,80467,11.042246228688796,['322'],1,0,0,0,1,mostly_female,1,2018-2019,0.0,1.0,2,38,14
9205280,"[6, 5]",6,5,2,"[2016, 2017, 2018, 2019]",4,0.926829268292683,0.5487804878048781,82,80022,15.20004391490618,"['335', '363', '218']",3,1,0,1,1,male,2,2018-2019,0.0,0.0,1,38,14
9206328,"[4, 3]",4,3,2,"[2016, 2017, 2019]",3,0.9146341463414634,0.5487804878048781,164,80227,7.851124877617673,['330'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,4,38,14
9211965,"[4, 3]",4,3,2,"[2016, 2017, 2018, 2019]",4,0.7804878048780488,0.5487804878048781,82,80530,24.68082582546256,"['312', '308']",2,1,0,0,1,male,2,2018-2019,0.0,0.0,2,38,14
9211998,"[5, 6, 7, 8, 4, 11, 9, 10, 2, 12, 3, 1, 14, 13]",14,1,14,"[2016, 2018, 2019]",3,0.8963414634146342,0.5487804878048781,164,81137,11.042246228688796,['306'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,7,38,14
