attendance,club_level,contact_id,distance,gender_num,lower_level,multiple_sections,num_sections,num_years,number_seats,ot_losses,paid_in_full,performance,renewed,season_year,seat_end,seat_start,tenure,tix_num,upper_level,wins,percent_total_used,flash_profit_loss
0.7674418604651163,0,100203,10.996835490559503,2,1,0,1,5,2,12,0.0,0.5487804878048781,1.0,2014-2015,2,1,19.0,86,0,39,0.806818182,0.0
0.7674418604651163,0,100203,10.996835490559503,2,1,0,1,5,2,12,0.0,0.5487804878048781,1.0,2014-2015,2,1,19.0,86,0,39,0.869565217,0.0
0.7674418604651163,0,100203,10.996835490559503,2,1,0,1,5,2,12,0.0,0.5487804878048781,1.0,2014-2015,2,1,19.0,86,0,39,0.7954,0.0
0.7674418604651163,0,100203,10.996835490559503,2,1,0,1,5,12,4,0.0,0.5,1.0,2015-2016,18,7,20.0,86,0,39,0.76744186,0.0
0.7674418604651163,0,100203,10.996835490559503,2,1,0,1,5,12,4,0.0,0.5,1.0,2015-2016,18,7,20.0,86,0,39,0.76744186,0.0
0.7674418604651163,0,100203,10.996835490559503,2,1,0,1,5,12,4,0.0,0.5,1.0,2015-2016,18,7,20.0,86,0,39,0.806818182,0.0
0.7674418604651163,0,100203,10.996835490559503,2,1,0,1,5,12,4,0.0,0.5,1.0,2015-2016,18,7,20.0,86,0,39,0.869565217,0.0
0.7674418604651163,0,100203,10.996835490559503,2,1,0,1,5,12,4,0.0,0.5,1.0,2015-2016,18,7,20.0,86,0,39,0.7954,0.0
0.8658536585365854,0,100203,10.996835490559503,2,1,0,1,5,19,4,0.0,0.2926829268292683,1.0,2016-2017,25,7,21.0,82,0,22,0.76744186,0.0
0.8658536585365854,0,100203,10.996835490559503,2,1,0,1,5,19,4,0.0,0.2926829268292683,1.0,2016-2017,25,7,21.0,82,0,22,0.76744186,0.0
0.8658536585365854,0,100203,10.996835490559503,2,1,0,1,5,19,4,0.0,0.2926829268292683,1.0,2016-2017,25,7,21.0,82,0,22,0.806818182,0.0
0.8658536585365854,0,100203,10.996835490559503,2,1,0,1,5,19,4,0.0,0.2926829268292683,1.0,2016-2017,25,7,21.0,82,0,22,0.869565217,0.0
0.8658536585365854,0,100203,10.996835490559503,2,1,0,1,5,19,4,0.0,0.2926829268292683,1.0,2016-2017,25,7,21.0,82,0,22,0.7954,0.0
0.925,0,100203,10.996835490559503,2,1,0,1,5,4,9,0.0,0.5792682926829268,1.0,2017-2018,10,7,22.0,80,0,43,0.76744186,0.0
0.925,0,100203,10.996835490559503,2,1,0,1,5,4,9,0.0,0.5792682926829268,1.0,2017-2018,10,7,22.0,80,0,43,0.76744186,0.0
0.925,0,100203,10.996835490559503,2,1,0,1,5,4,9,0.0,0.5792682926829268,1.0,2017-2018,10,7,22.0,80,0,43,0.806818182,0.0
0.925,0,100203,10.996835490559503,2,1,0,1,5,4,9,0.0,0.5792682926829268,1.0,2017-2018,10,7,22.0,80,0,43,0.869565217,0.0
0.925,0,100203,10.996835490559503,2,1,0,1,5,4,9,0.0,0.5792682926829268,1.0,2017-2018,10,7,22.0,80,0,43,0.7954,0.0
0.8292682926829268,0,100203,10.996835490559503,2,1,0,1,5,4,14,0.0,0.5487804878048781,1.0,2018-2019,6,3,23.0,82,0,38,0.76744186,0.0
0.8292682926829268,0,100203,10.996835490559503,2,1,0,1,5,4,14,0.0,0.5487804878048781,1.0,2018-2019,6,3,23.0,82,0,38,0.76744186,0.0
0.8292682926829268,0,100203,10.996835490559503,2,1,0,1,5,4,14,0.0,0.5487804878048781,1.0,2018-2019,6,3,23.0,82,0,38,0.806818182,0.0
0.8292682926829268,0,100203,10.996835490559503,2,1,0,1,5,4,14,0.0,0.5487804878048781,1.0,2018-2019,6,3,23.0,82,0,38,0.869565217,0.0
0.8292682926829268,0,100203,10.996835490559503,2,1,0,1,5,4,14,0.0,0.5487804878048781,1.0,2018-2019,6,3,23.0,82,0,38,0.7954,0.0
0.0,0,100214,9.90099778112696,2,1,0,1,5,4,12,0.0,0.5487804878048781,1.0,2014-2015,8,5,19.0,86,0,39,0.0,0.0
0.0,0,100214,9.90099778112696,2,1,0,1,5,4,12,0.0,0.5487804878048781,1.0,2014-2015,8,5,19.0,86,0,39,0.33720930200000004,0.0
0.0,0,100214,9.90099778112696,2,1,0,1,5,4,12,0.0,0.5487804878048781,1.0,2014-2015,8,5,19.0,86,0,39,0.727272727,-0.005928854
0.3372093023255814,0,100214,9.90099778112696,2,1,0,1,2,18,4,0.0,0.5,0.0,2015-2016,18,1,20.0,86,0,39,0.0,0.0
0.3372093023255814,0,100214,9.90099778112696,2,1,0,1,2,18,4,0.0,0.5,0.0,2015-2016,18,1,20.0,86,0,39,0.33720930200000004,0.0
0.3372093023255814,0,100214,9.90099778112696,2,1,0,1,2,18,4,0.0,0.5,0.0,2015-2016,18,1,20.0,86,0,39,0.727272727,-0.005928854
0.7804878048780488,0,100214,9.90099778112696,2,1,0,1,5,4,4,0.0,0.2926829268292683,1.0,2016-2017,4,1,21.0,82,0,22,0.0,0.0
0.7804878048780488,0,100214,9.90099778112696,2,1,0,1,5,4,4,0.0,0.2926829268292683,1.0,2016-2017,4,1,21.0,82,0,22,0.33720930200000004,0.0
0.7804878048780488,0,100214,9.90099778112696,2,1,0,1,5,4,4,0.0,0.2926829268292683,1.0,2016-2017,4,1,21.0,82,0,22,0.727272727,-0.005928854
0.9302325581395348,0,100225,9.966794269339156,2,0,0,1,1,8,12,0.0,0.5487804878048781,0.0,2014-2015,14,7,19.0,86,1,39,0.930232558,0.0
0.9302325581395348,0,100225,9.966794269339156,2,0,0,1,1,8,12,0.0,0.5487804878048781,0.0,2014-2015,14,7,19.0,86,1,39,1.0,0.009966777
0.9302325581395348,0,100225,9.966794269339156,2,0,0,1,1,8,12,0.0,0.5487804878048781,0.0,2014-2015,14,7,19.0,86,1,39,0.704545455,0.0
0.9767441860465116,0,100225,9.966794269339156,2,0,0,1,5,4,4,0.0,0.5,1.0,2015-2016,4,1,20.0,86,1,39,0.930232558,0.0
0.9767441860465116,0,100225,9.966794269339156,2,0,0,1,5,4,4,0.0,0.5,1.0,2015-2016,4,1,20.0,86,1,39,1.0,0.009966777
0.9767441860465116,0,100225,9.966794269339156,2,0,0,1,5,4,4,0.0,0.5,1.0,2015-2016,4,1,20.0,86,1,39,0.704545455,0.0
0.7073170731707317,0,100225,9.966794269339156,2,0,0,1,3,2,4,0.0,0.2926829268292683,0.0,2016-2017,5,4,21.0,82,1,22,0.930232558,0.0
0.7073170731707317,0,100225,9.966794269339156,2,0,0,1,3,2,4,0.0,0.2926829268292683,0.0,2016-2017,5,4,21.0,82,1,22,1.0,0.009966777
0.7073170731707317,0,100225,9.966794269339156,2,0,0,1,3,2,4,0.0,0.2926829268292683,0.0,2016-2017,5,4,21.0,82,1,22,0.704545455,0.0
0.8488372093023255,0,100313,2.1536172516902488,2,1,0,1,5,4,12,0.0,0.5487804878048781,1.0,2014-2015,4,1,19.0,86,0,39,0.848837209,0.0
0.8488372093023255,0,100313,2.1536172516902488,2,1,0,1,5,4,12,0.0,0.5487804878048781,1.0,2014-2015,4,1,19.0,86,0,39,0.80620155,0.0
0.8488372093023255,0,100313,2.1536172516902488,2,1,0,1,5,4,12,0.0,0.5487804878048781,1.0,2014-2015,4,1,19.0,86,0,39,0.727272727,0.0
0.8488372093023255,0,100313,2.1536172516902488,2,1,0,1,5,4,12,0.0,0.5487804878048781,1.0,2014-2015,4,1,19.0,86,0,39,0.87755102,0.0
0.8488372093023255,0,100313,2.1536172516902488,2,1,0,1,5,4,12,0.0,0.5487804878048781,1.0,2014-2015,4,1,19.0,86,0,39,0.8125,0.0
